Request,Label
adiciona Yameen à lista de reprodução de 4 drake nathan não mapeada,add_to_playlist
Será tempestuoso em MA,get_weather
Adicione um álbum de mg sreekumar à minha acústica descontraída.,add_to_playlist
Reserve uma mesa no Black Rapids Roadhouse na Antártida para nove,book_restaurant
"Por favor, procure o título A Saga Crepúsculo: Amanhecer Parte 2.",search_creative_work
"Eu quero ouvir um álbum ordenado por último, abrir o Google Music e Paulinho Da Viola.",play_music
Para este analítico atual eu dou 5 de 6,rate_book
qual é a previsão para quente às dez em Idaho,no_intent
Posso ver o pacote de TV The Closer I Get?,search_creative_work
Posso ver os trajetos dos seriados para esta noite no bairro?,search_screening_event
encontre o Shake Your Spirit,search_creative_work
Encontre a programação de curta-metragens animados no bairro.,search_screening_event
Procurando pelo classificar filme chamado Crossbones,search_creative_work
Eu quero ouvir uma melodia popular de David Bazan,play_music
A que horas. é o pedágio do mar jogando,search_screening_event
Dê um fora de 6 luas para a opção de Shiva,rate_book
Jogue as dez melhores músicas tema de 1975 por Tom Baxter,play_music
"Para minha listagem de reprodução do Crossfit, adicione o The Soul Sessions Volume 2",add_to_playlist
mostre-me o 0h do telefilme na área às sete horas para filmes animados,search_screening_event
Use o Spotify para tocar música,play_music
É mais calor em Mint Hill FM,get_weather
Você pode me fazer o filme Snowman &# 39; s Land?,search_creative_work
Que filmes estão tocando no cinema mais próximo,search_screening_event
Reserve um em MP às 3 da tarde com porcos em cobertores,book_restaurant
"Eu quero ver Death Carries a Cane no cinema mais próximo, que horas isso va mostrar?",search_screening_event
Quanta neblina há em Tarpon Springs?,get_weather
Quanto vai haver sol às 07: 03: 43 PM. em Jones Chapel?,get_weather
O álbum atual merece 0 estrelas,rate_book
Como é o clima em Flint Hill em 9 anos,get_weather
Precisa de uma biosfera para 6 em OK para a cidade de Boonton,book_restaurant
Qual é o temperado em Beltsville,get_weather
Encontre o calendário de filmes para Teatros B & B.,search_screening_event
Eu gostaria de ver uma para documentários no dramaturgia mais próximo.,search_screening_event
d o livro de texto atual 1 de 6,rate_book
adiciona um álbum in Sweet Soul Chillout,add_to_playlist
Adicionar um portão através de espelhos manchados de sangue para sentir boa de reprodução,add_to_playlist
Adicione o ál à lista de reprodução de rock psicodélico,add_to_playlist
o que é a previsão do Sri Lanka para neve,get_weather
colocar esta trilha na de reprodução Alok House Party,add_to_playlist
Encontre uma trilha sonora chamada Billboard Hot R & B,search_creative_work
Qual será a umidade aqui esta semana?,get_weather
do tempo. para Frankfort,get_weather
Encontre o Innocent When You Dream saga,search_creative_work
"Eu gostaria de ir à Douglas Theatre Company para ve em Beaver Valley, que isso vai estar atual tocando?",search_screening_event
exibições de de animação na área,search_screening_event
encontrar adicionar sam sparro à minha chamada Beach Vibes,add_to_playlist
Como está o tempo agora na mesma área que a Geórgia,get_weather
achar filmes de anima nas proximidades,search_screening_event
Qual é a previsão às quatro da manhã na Zâmbia?,get_weather
Reproduzir a música Seamus Heaney Collected Poems,search_creative_work
Coloque qualquer registro de 1972.,play_music
vislumbrar um programa de TV chamado The Fighting Men,search_creative_work
add tune to my Lista de reprodução The Southern Highway Chronicles,add_to_playlist
Eu quero dar o seguinte ensaio cinco tentos fora de 6,rate_book
Adicionar o meu melhor para a minha lista de reprodução de viagem.,add_to_playlist
"sinos quebrar suas torres, um jogo de vídeo",search_creative_work
Você pode me ajudar a encontrar o ScholarMate?,search_creative_work
Qual é a previsão de nevoeiro para nov. 15 em França em Brookland Terrace,get_weather
Tempo em Witt outubro vinte e seis,get_weather
Eu quero ver King of the River no mais próximo,search_screening_event
"Reproduzir a lista de reprodução, A Mis Niños de 30.",play_music
Eu preciso falar a música Aspro Mavro de Bill Szymczyk no Youtube,no_intent
Eu quero reservar uma mesa no The Commons Restaurant em South Pekin New Hampshire para uma festa de 10 em janeiro a 24,book_restaurant
classificar o livro atual de zero de 6 pontos,rate_book
Quando é que o The Bleeding House está a tocar na Amco Entertainment?,search_screening_event
Em 13 de dezembro de 2018 eu preciso de uma reserva para quatro no Arizona,book_restaurant
Você pode por favor me The Biggest Loser Brunei: A foto do Spirit of Life?,search_creative_work
Toque uma música de 1973.,no_intent
Eu quero Mark Boston à minha lista Power Walk,add_to_playlist
Encontre os trajetos dos saga filmes de Great Escape Theatres.,search_screening_event
Onde posso contar o late-night? Twentysomething,no_intent
Encontre a trilha sonora intitulada The House of the Yellow Carpet,search_creative_work
Estou procurando o teaser de Brought by the Sea.,search_creative_work
Reproduzir o álbum Dave Wyndorf,play_music
Posso pessoas ouvir um movimento de rookantha gunathilake no serviço Vimeo?,play_music
Eu dou a Lady Decide um valor de de 4 e uma melhor classificação de 6,rate_book
Algum documentário toca nos de Santikos?,search_screening_event
4 de 6 é a classificação para Incêndios de Azeroth,rate_book
Ajude-me a achar Onde estão as coisas selvagens,search_creative_work
horários de filmes do Kerasotes Theatres,search_screening_event
Reserve-me uma mesa em uma delicatessen húngara em Dakota do Norte.,book_restaurant
Como está o tempo agor em Washington,get_weather
Coloque essa música do Jerry Dixon na minha remistura do Tokyo Rising.,add_to_playlist
encontrar horários de filmes próximos para,search_screening_event
Eu preciso de uma reserva por quatro minutos para 3 pessoas nas Ilhas Falkland,book_restaurant
Reserve uma mesa para o vigésimo segundo de abril em um pub que serve crioulo,book_restaurant
Classifique os documentos na série de casos dois de seis,play_music
"nancy, elma ruiz e molly querem comer em um restaurante em gibraltar",book_restaurant
tocar um pouco de rap no Pandora,play_music
me a programação do para longa-metragens na área,search_screening_event
Deixe-me um ep oitenta.,play_music
é uma noite surpresa no,search_screening_event
Quais são os horários dos curta-metragens atuais para AMC Theatres?,search_screening_event
taxa de caça e coleta de um dois,rate_book
encontrar ela macacos,search_creative_work
Jogue a maior balada dos anos setenta,play_music
Eu quero colocar goldy mcjohn na minha de reprodução do Rock Party,add_to_playlist
Eu preciso de uma área em Steele City,no_intent
Será mais em Holladay São Cristóvão e Névis?,get_weather
encontrar um jogo chamado Bump the Show,search_creative_work
Quando a esposa inglesa dele está se apresentando no Neighborhood Cinema Group?,search_screening_event
qual é a previsão atual para áreas distantes e temperaturas mais altas?,get_weather
jogar Moustapha Amar Faça chover,play_music
adicionar música ao meu El Mejor Pop en Español,no_intent
Adicionar Waltz for Debby à minha playlist Soft Hits Pop.,add_to_playlist
Qual é o temperado em Seattle Heights e Eslovênia às sete horas.,get_weather
Adicione outra faixa à minha playlist Catch &# 39; Em All.,add_to_playlist
Eu daria a este atu uma classificação de cinco e uma melhor classificação de 6,rate_book
Você pode me deixar saber os filmes que estão nos dos filmes na área ao meio-dia?,search_screening_event
Diga-me a previsão do tempo para daqui a sete anos,get_weather
"Será frio em Allardt, Aruba?",get_weather
"Por favor, calce-me a programação do longa-metragem de hoje.",search_screening_event
restaurante em Watauga para mim e minha tia,book_restaurant
pesquisa para programa de televisão Windows Live TV,search_creative_work
Classifique as faces zer de teste atuais,rate_book
Eu quero adici Kiara à minha lista de reprodução do Digster Future Hits,no_intent
gve 2 aponta para The Stinky Cheese Man e Other Fairly Stupid Tales,rate_book
Como vai ser fev. o vigésimo em Colorado,get_weather
Reserve um bar que serve cozinha ítalo-americana ao lado da Wilson Av para uma pessoa.,book_restaurant
aval a maestria sem esforço crônica a 4,no_intent
"Reserve uma mesa daqui a um ano para corinne, tisha e eu em um restaurante em Guernsey que é top-rated",book_restaurant
Adicione mr j medeiros à minha compilação de reprodução Women of Country.,add_to_playlist
Encontre os intervalos dos filmes animados por aqui.,search_screening_event
Classifique A Enciclopédia Simon & Schuster de Dinossauros e Criaturas Pré-históricas 0 tentos.,rate_book
materializar uma chamada Quanto Madeira seria um Chuck Woodchuck,no_intent
Que ilusionismo está jogando Sherlock Holmes e Dr. Watson quinze horas e um minuto a partir de agora,search_screening_event
Eu quero dar a primeira pessoa e outras histórias 0 de 6 estrelas,rate_book
"Eu preciso dispensar uma mesa em um bar na Micronésia para tia, madeline e estela",book_restaurant
criar curta-metragens de animação no cinema mais próximo,search_screening_event
Coloque esta música no remix de treino,no_intent
Estará congelando em New Preston Venezuela?,get_weather
Eu quero ve o programa de televisão The Muppet Christmas Carol,search_creative_work
quero assistir ao program de TV Treeful of Starling,search_creative_work
Encontre The Transformers: Generations video game,search_creative_work
Adicionar faixa para isso é puccini,add_to_playlist
Reserve-me uma saleta para 2 em 6 anos em um barracão que serve potée,book_restaurant
Qual é a cobertura da nuvem no meu lugar atual?,get_weather
que filmes estão por aqui,search_screening_event
classificasse esta saga 0 de 6,rate_book
Adicionar de espírito à minha de chocolate com chocolate,add_to_playlist
Eu quero uma saleta para sentar 10 perto de Ottumwa que serve osteria e vestir rancho.,book_restaurant
Eu quero pegar nove lugares em um supermercado que serve bolo de sorvete.,book_restaurant
qual é a do NH para o mexicano Hat,get_weather
Imagens de The Baltic Times,search_creative_work
o atu que estou lendo deve ser classificado como zero de 6,rate_book
o Uma Breve História da Ficção Chinesa 0 fora de 6 pontos,rate_book
Procurando pelo trabalho crativo chamado In my memory,search_creative_work
Eu dou a saga Knife of Dreams um 0 de 6,no_intent
Que são 7 faces do Dr. Lao que mostra em unidos de Paramount,search_screening_event
o que é um microclima da Martinica daqui a um mês,get_weather
Eu quero reservar uma cafeteria para 4 que tenha meze,book_restaurant
Qual é a previsã da nuvem agora para Serra Leoa?,get_weather
Obter o vídeo game de The Chipmunk Song,search_creative_work
que estão nas proximidades,search_screening_event
Adicione outra música à tabela de reprodução de soul acústica.,add_to_playlist
Eu quero o jantar por Heston Blumenthal em AL.,book_restaurant
"Por favor, procure a pintura Beyond Iconic: Fotógrafo Dennis Stock.",search_creative_work
que filmes animados estão no bairro,no_intent
reservar um lugar para sete em uma brasserie com ginestrata,book_restaurant
Eu gostaria de ver o projecto de televisão Paul Murray Live,search_creative_work
dê uma classificação a este reggae álbum,rate_book
Toque uma melodia dos anos noventa no Google Music,play_music
Como está o pessoas tempo em El Salvador?,get_weather
uma mesinha em Fullerville em um bar altamente cotado,book_restaurant
Adicione uma melodia Mary Fahl à tabela de reprodução Pre-Party R & B Jams.,add_to_playlist
Que filmes estão tocando no cinema mais próximo,search_screening_event
Tocar música de 2012 por Yossif Kobzon no último fm.,play_music
encontrar filmes em 12 minutos no cinema mais próximo,search_screening_event
É ventando em Custar,get_weather
adicionar música eric johnson à minha playlist The Refugee Playlist,add_to_playlist
Reserve-me um almoço no Boreas para uma festa de 8,book_restaurant
Eu gostaria de ver o show Onion SportsDome,search_creative_work
Monster Monster à minha tabela de reprodução de quinta-feira,add_to_playlist
Eu avalio o Tempo e Estrelas dois pontos,rate_book
mostre-me a programação de longa-metragens em Cobb Theatres,search_screening_event
Adicionar la voce à minha lista de reprodução Dubstep Dangles Dirty,add_to_playlist
Classifique o CIA World Factbook em cinco de 6 estrelas,rate_book
"Reserve um restaurante ou eu e meu melhor amigo no Sábado Santo, capital dos Emirados Árabes Unidos, onde eles servem pratos de calabresa",book_restaurant
"Por favor, encontrem-me os filmes tocando nas proximidades",search_screening_event
Você pode procurar por Twilight Is Gone?,search_creative_work
Encontrar Pursuit of Radical Rhapsody,search_creative_work
Encontre a para The Tooth Will Out ao amanhecer.,search_screening_event
Encontre uma reserva no Teatro Roseland às 22h,book_restaurant
Adicionar nyoil ao meu isto é príncipe playlist,add_to_playlist
Quer comer no The Meatball Shop que fica a uma curta distância do campus de erica,book_restaurant
Eu preciso de uma reserva para a próxima semana com uma festa de seis,book_restaurant
Milhões de pessoas estão jogando no cinema?,search_screening_event
Como está o tempo na Gâmbia em uma semana e meia?,get_weather
Dê este livro um 2.,rate_book
adicione richard sohl para jantar por 2,add_to_playlist
esta músi de Jim White à minha listagem de reprodução Rumba y más,add_to_playlist
renderizar contato à minha listagem de reprodução do nu metal,no_intent
Quais filmes estão atualmente em Star Theatres?,no_intent
Posso colocar o johnny burke na minha listagem de reprodução?,add_to_playlist
Classifique o carteiro sempre toca duas vezes zero estrelas fora de 6.,rate_book
Eu d este último romance apenas 1 pontos,rate_book
Listar filmes no Pacific Theatres,search_screening_event
Tocar alguns Dave Pearce.,play_music
à minha lista de reprodução de queijo mac &# 39; n com Tsūzetsu,add_to_playlist
Estou procurando uma foto chamada Merry Christmas.,search_creative_work
Qual é a previsão do tempo aqui?,get_weather
Quando é o Four Days em novembro tocando no cinematográfico?,search_screening_event
Avalie o romance atual a 1,rate_book
Procurando polonês assalto,search_creative_work
Toque uma faixa de rock de 1984,play_music
Qual é a de documentários do AMC Theatres?,search_screening_event
Adicionar este álbum a canciones que lo van petar,add_to_playlist
Qual é a previsão na mesma área que Fiji,get_weather
Letra de música Ayumi Hamasaki Countdown Live 2007 – 2008 Anniversary,search_creative_work
Onde está o cinema mais próximo a gravar Fratura Composta,search_screening_event
Toca alguma coisa na minha lista de reprodução clássica do Jazz Funk no Zvooq,play_music
Bilhete para The Perfect Man em Dickinson Theatres às 10h da manhã,search_screening_event
Mostre-me a pintura da Terapia Sexual,search_creative_work
avaliar este intitulado The Improvisatore ci luas,rate_book
Mostre-me o horário do reserve filme,search_screening_event
Eu estou pintura procurando por perturbação do rio,search_creative_work
Adicione um álbum ao jogo eletrônico,add_to_playlist
Tocar impressões na pedra por Helen Baylor,play_music
reservar uma brasserie com estacionamento para 1,book_restaurant
encontrar história de menino,search_creative_work
Liste os dos recentes na área.,search_screening_event
Você pode pesquisar Cidade das Cicatrizes?,search_creative_work
ad eu deveria ter conhecido melhor para isso é rei bb,add_to_playlist
"Eu gostei de Ports of Call, eu reserve da um 5 de 6.",rate_book
Reserve uma reserva para 8 pessoa em um bar irlandês,book_restaurant
"Como estará o tempo em Port Clinton, Nebraska por volta da meia-noite?",get_weather
Qual será o temp perto da posição atual às 02: 02: 30?,no_intent
Quando haverá uma nuvem na Austrália?,get_weather
Reserve uma sala para mamie e maria em um restaurante tirolês do sul a uma curta distância do Fisk Av-69th St.,book_restaurant
Você pode arranjar o filme acidentalmente no amor,search_creative_work
Give Honor Girl de 6 estrelas,rate_book
que horas é o Rocketeer exibindo,search_screening_event
Jogar um trailer de Give It All,no_intent
Dê A Crônica da Morada das Trevas 2 de 6.,rate_book
que filmes animados estão no cinema mais próximo,search_screening_event
cantar uma rocha sinfônica em Pandora,book_restaurant
Qual é a previsão do tempo. para perto de Burkina?,get_weather
Adicione michael wittig à lista de reprodução da festa.,add_to_playlist
Será quente perto da Reserva da Biosfera de Calakmul daqui a 3 segundos,get_weather
visualizar reserve álbum a esta é playlist trey songz,add_to_playlist
"achar Bullet and a Target, um reproduza programa de televisão",search_creative_work
Jogue 25 To Life por Paul Riley em Deezer.,play_music
dar 2 estrelas para a série Mulligan Stew,rate_book
abra a lista de músicas do Canciones del Recuerdo e toque músicas,play_music
Dê Deriva: O Desatrelar do Poder Militar Americano 0 de 6 tentos.,rate_book
cinemas mostre a criatividade do maior filme já vendido,search_creative_work
Tocar música no Youtube.,play_music
Jogue uma faixa de 1964 do Shahram Nazeri no Pandora.,play_music
Encontre o Capitão Kronos-Caçador de Vampiros.,search_screening_event
Reserve um restaurante na Suíça por 3.,book_restaurant
Reproduzir músicas do itunes e do Vimeo,play_music
Quero avaliar o de crônicas do Hostile Waters com programação cinco de seis,rate_book
tocar algum synthpop,play_music
por vimeo favor acrescente este artista à minha playlist Zen Focus,add_to_playlist
Tocar música rie fu ordenada pelos melhores.,no_intent
Classifique este álbum 2 constelações,rate_book
Posso obter os itinerários dos filmes do Loews Cineplex?,search_screening_event
Tocar música no Netflix por Don Kikas,play_music
eu quero comer um de caf da manhã altamente cotado,book_restaurant
Vai haver muito vento aqui no dia 16 de dezembro?,get_weather
Está quente no local atual?,get_weather
Adicionar esta faixa à compilação de reprodução Evening Commute,add_to_playlist
como vai estar o tempo em Nickelsville,get_weather
Quero onde reservar um supermercado em Neshanic Station Nigeria para 06: 18: 13 pm,get_weather
pesquisa por filme Turn Back the Clock,search_creative_work
Haverá uma nevasca no Oregon?,get_weather
oferecer uma taverna que serve vichyssoise a uma curta distância em OH,book_restaurant
Onde posso achar nas falésias de mármore,search_creative_work
Encontre o álbum intitulado Spasmolytic,search_creative_work
Strauss está jogando hoje no Cineplex Odeon Corporation,search_screening_event
Eu gostaria de comer no The Firehouse Restaurant,book_restaurant
Eu quero comer sorvete em uma brasserie comigo e com minha sogra,book_restaurant
Toque uma sinfonia dos anos trinta.,play_music
Eu estou querendo saber quando eu posso a pressa do pôr do sol.,search_screening_event
"Reserve uma praça de alimentação em Raytown Arizona, que serve caçarola de feijão verde no dia 20 de julho.",book_restaurant
Mostrar lote familiar,search_creative_work
Eu quero ouvir as músicas de Sebastian dos anos trinta no Youtube,play_music
Encontre horá de seriados para filmes por aqui às dezenove horas.,search_screening_event
Eu preciso de percursos de,search_screening_event
Qual será a previsão do tempo durante a recordação do Kent State Shootings no Parque Nacional El Cocuy?,get_weather
Qual é a escultura Forever Malcolm Young?,search_creative_work
o próximo romance é de 4 luas,rate_book
encontrar Alamo Drafthouse Cinema com filmes animados,no_intent
Avaliar a Armadilha da Nave Estelar 5,play_music
Eu dou ao romance anterior um de seis luas.,rate_book
Precisa de uma mesa no The Goof na Croácia para uma festa de três,book_restaurant
Eu classifico o livro atual como 0 de 6,rate_book
que filmes de animação estão sendo exibidos no cinema mais próximo,search_screening_event
Procure o arqueiro valente 2,search_creative_work
adicionar faixa para dançar playlist,add_to_playlist
Encontre o calendário de film para National Amusements.,search_screening_event
Quais são os horário dos filmes de animação no bairro?,search_screening_event
Você vai conhecer um estranho alto e escuro em cine Bow Tie?,search_screening_event
Mostrar itinerários de filmes com film no bairro,search_screening_event
Posso escutar uma música de David Hodges?,play_music
Encontre o Mary Van Nota Show,search_creative_work
mostra transmissão de filmes no Cinemark Theatres,search_screening_event
Dê Três Junes um ponto em 6.,rate_book
Joga-me East Side Story,no_intent
Adicione uma faixa à minha lista de reprodução.,add_to_playlist
mesa para 6 em uma brasserie,book_restaurant
Que animados estão sendo exibidos no Loews Cineplex,search_screening_event
Qual é o tempo em Ecola State Park em três minutos,get_weather
Classifique meu livro atual três de seis,rate_book
Jogue uma trilha sonora a partir de 1954.,play_music
Deseja ler o romance chamado The Wizard of Stone Mountain,search_creative_work
Eu quero ouvir um EP da noite de Silvia dos anos sessenta,play_music
Haverá uma tempestade nas proximidades,get_weather
Quando posso ver a tripulação da Dora,search_screening_event
Vai ser legal em Reager MP,get_weather
reservar um lugar altament avaliado em IN em sete anos em um pub,book_restaurant
arranjar Mary Kom começando em uma hora,search_screening_event
Reproduzir música suavemente,search_creative_work
Como está o tempo hoje em Plankinton?,get_weather
adicionando a música atual à minha lista de reprodução do Rock Gaming,add_to_playlist
Diga-me que filmes estão atualmente em cartaz no AMC Theatres,search_screening_event
adicione alain caron à minha listas de músicas em trânsito,add_to_playlist
Encontre os horários dos cinemas no Caribe.,search_screening_event
Reserve local para oito no bar que serve potée,book_restaurant
revelasse a creatividade da casa dos mortos,search_creative_work
Eu dou Warheart 5 faces.,rate_book
Quais são os dos filmes locais?,no_intent
renderizar esta faixa à minha lista chamada Trabajo Relax,add_to_playlist
Adicionar Manuelita la tortuga à minha lista Nuestros 80,add_to_playlist
Qual é o horário dos curta-metragens para seriados no bairro?,no_intent
Será mais quente no CT às 6 da manhã?,get_weather
Eu gostaria de uma mesa para 7 às dez da noite em uma cafeteria em AL que serve comida da Malásia,book_restaurant
Adicione a entidade Por una cabeza à minha playlist Forever Alone,add_to_playlist
Será mais quente no meu luga atual daqui a seis semanas?,get_weather
Eu quero ouvir o álbum de tiros de Shooby Taylor.,play_music
colocar essa música dave abbruzzese na Family Road Trip,add_to_playlist
Jogue alguns Geir Jenssen.,play_music
Classifique a Nona Chave 3 de 6 pontos,rate_book
Eu quero uma condições mesa para 2 em um em Portugal,book_restaurant
Encontre-me a ouvir fotografia Quando Harry Tenta Casar-se,search_creative_work
"Reserve uma sala no The Vortex Bar & Grill no Alaska Day, no estado de Rhode Island",book_restaurant
Classifique O Homem da URSS e Outros Joga 0,rate_book
Onde posso encontrar corações solitários,search_creative_work
reservar um lugar para um em um bar em Seabrook,book_restaurant
mostre trabalho criativo ou Miami Vice Theme,search_creative_work
Mostre-me os do filme,search_screening_event
é The Slut a gravar às 07: 27 em Harkins Theatres,search_screening_event
Posso pegar o horário dos filmes para a casa de cinema mais próxima?,search_screening_event
"Por favor, adicione Ruud Jolie à minha de convidados Guest List Polygon",add_to_playlist
Jogue uma sinfonia de topo a partir dos anos quarenta,play_music
laura e eu quero animação comer em algum lugar em Gibraltar em 11 de abril de 2033,book_restaurant
Encontre Clash of the Codes.,search_creative_work
Encontre um programa-piloto de vento televisão chamado Arquivo de Fax Estruturado.,search_creative_work
Estou procurando o álbum chamado Disorderly Conduct: Video on Patrol,search_creative_work
Adicione outra música à minha seção de reprodução do Trance Life.,add_to_playlist
Reserve-me uma reserva para The Brazen Head perto da minha universidade,book_restaurant
Onde posso encontrar a trilha sonora do Steamboat Bill?,search_creative_work
tocar uma faixa por Mila Islam de Deezer,play_music
Preciso de uma mesa para mim e minha melhor amiga da San Francisco Brewing Company.,book_restaurant
"encontrar Old School Junkies: The Album, um videogame",search_creative_work
Olhando para o trailer de Shaolin Temple,no_intent
Faça-me uma em uma delicatessen que serve tofy para uma festa de quatro em AZ,no_intent
Quais são os horários de ouvir exibição de Mann Theaters para Secret Sunshine?,search_screening_event
É em toda a linha atuando na casa de mais próxima,search_screening_event
"Será nublado em Lenzburg, Papua Nova Guiné?",get_weather
Quais são os horários dos telefilmes no Loews Cineplex?,search_screening_event
Qual é o em New Beaver,get_weather
adiciona Fish Leong à minha lista de reprodução I Love My &# 39; 00 &# 39; s R & B,add_to_playlist
"um lugar para nona grey, myrtle e alison em uma brasserie bem cotada que é distante da Wilson Av em 4 de novembro de 2030 que reproduzir serve ouzeri",book_restaurant
Encontrar a imprensa de atlantic city movie,search_creative_work
Reservar Main Deli Steak House em 13 de fevereiro na Sérvia e Montenegro,book_restaurant
"Como deve ser o em 20 de setembro em Maltby, Rússia",get_weather
Adicionar Mary Wells Sings My Guy à playlist electro sur.,add_to_playlist
posso obter os do filme,search_screening_event
Dê-me a lista de curta-metragens exibidos à noite no Great Escape Theatres.,search_screening_event
Shw a Maridos gêmeos,search_creative_work
Eu gostaria de ouvir alguma música instrumental.,play_music
Dê-me a do para Nationaal park Garphyttan,get_weather
Adicionar um álbum de Thomen Stauch ao meu Rock Esta lista de reprodução.,add_to_playlist
Adicionar cada música é um grito de amor para minha compilação de reprodução Soul &# 39; n &# 39; The City,add_to_playlist
reservar Bridge Round House para um na hora da refeição na República Democrática do Congo fechar,book_restaurant
Eu dou a este subtítulo cinco atuais,rate_book
perceba-me a dos filmes no bairro,search_screening_event
qual é a previsão em 1 segundo no Monte Sereno para congelar temps,get_weather
Eu daria a este romance atua 4 pontos,rate_book
É o mais quente em Old Furnace State Park,no_intent
Como é o tempo em Wyatte,get_weather
Reserve um ao ar livre.,book_restaurant
Dar Untouched by Human Hands cinco pontos em 6.,rate_book
mostrar criatividade da imagem A pequena morte,search_creative_work
A que horas é Hold That Blonde atuando no cinema mais próximo?,search_screening_event
Toca uma música do movimento dos anos quarenta,play_music
Ir para o filme O melhor dos piratas do Mississippi,search_creative_work
Eu quero comer em 19 horas no NM,book_restaurant
"Eu gostaria de reservar em um pub em mar. 8, 2020, que é perto de Broadway-Lafayette St para minhas filhas e eu.",book_restaurant
encontrar o clipe O Melhor de: Os Idols Township,search_creative_work
Search for Inocência do Inferno,search_creative_work
taxa de sintonizar a minha natalie macmaster viajes,add_to_playlist
Como estará o tempo aqui em 17 de setembro de 2040,get_weather
Como faço para assistir ao programa de televisão Contando os Rosários?,search_creative_work
Estou procurando uma foto intitulada Rock Painting,search_creative_work
Como é na minha localização atual,get_weather
Classifique a solidão do corredor de longa distância 0 pontos de 6,rate_book
Encontre-me o cinema mais próximo que está o Salvador.,search_screening_event
Eu d a este livro terrível dois de seis.,rate_book
tocar uma das vinte melhores sinfonias de 2010,play_music
Mostre-me o poder de fogo,search_creative_work
taxa The Sunrise Lands a zero,rate_book
Classifique o livro atual como um dos 6 pontos,rate_book
Eu quero oferecer um restaurante para oito em Harding.,book_restaurant
Tocar algumas músicas dos anos setenta de Joseph Genaro no Google Music,no_intent
uma vinheta de longa-metragens no bairro para,search_screening_event
por favor coloque o Linzi Stoppard na minha lista de reprodução sxsw fresh,add_to_playlist
Adicionar robin s a sxsw latin,add_to_playlist
Qual é o tempo distante daqui em set. o décimo quinto,get_weather
NaN,get_weather
taxa anti-intelectualismo na vida americana um dois de 6 estrelas,rate_book
Jogue uma das vinte melhores sinfonias de Bumble Bee Slim,play_music
Eu quero uma mesa para 9 em Loyola no Gus Stevens Seafood Restaurant & Buccaneer Lounge,book_restaurant
O Super Turnt Up pode ser adicionado à minha playlist de emotron?,add_to_playlist
coloca Anna Grigorjewna Semenowitsch em toda a lista dos 00s,add_to_playlist
Reserve uma no Irma Hotel em Mount Repose,book_restaurant
o romance anterior vale dois de seis,rate_book
Como estará o clima nesta noite em Arkansas,get_weather
Adicionar árvore genealógica às conexiones,add_to_playlist
adicionar skunk sombrio a Duetos,add_to_playlist
adicionar robin trower a feminista de sexta-feira,add_to_playlist
Classifique o subtítulo Um apelo do novo ao velho Whigs a 0,rate_book
encontrar Junte-se aos pontos: lados B e raridades,no_intent
